action,upstream_demand,downstream_demand,upstream_l,upstream_inflow,upstream_n_onramp1,upstream_n_onramp2,upstream_n_queued,upstream_k,upstream_v,upstream_q,downstream_l,downstream_inflow,downstream_n_onramp1,downstream_n_onramp2,downstream_n_queued,downstream_k,downstream_v,downstream_q,reward,total_reward
0,7406.840717235338,2593.159282764662,4,10,0,1,0,30.0,78.8603835276556,8460.0,4,0,0,0,0,4.0,96.8757711647376,1620.0,-0.1902015910327593,-3.459836356667762
0,6838.480159728056,3161.5198402719443,4,10,0,1,0,27.5,79.4751969243049,11160.0,4,7,0,0,0,6.5,93.01074497819954,2160.0,-0.1793712477127407,-3.639207604380503
0,6241.116017515822,3758.883982484178,4,6,2,0,0,24.5,82.46423966630572,7920.0,4,3,1,0,0,6.5,91.90378904076121,2520.0,-0.15556499980985877,-3.7947726041903618
0,5624.172216881814,4375.827783118186,4,6,0,0,0,24.5,84.02470221317397,7380.0,4,3,0,0,0,7.5,92.15577732999152,2880.0,-0.1406957705632192,-3.935468374753581
0,4997.381569836644,5002.618430163356,4,7,0,0,0,22.0,85.44944493611348,8640.0,4,3,0,0,0,6.5,93.00114730174764,2880.0,-0.12828236980496271,-4.0637507445585435
0,4370.6322307493765,5629.3677692506235,4,5,1,0,0,19.5,87.7230689747306,7560.0,4,6,0,0,0,9.0,94.47756243114583,3060.0,-0.10143933091664593,-4.16519007547519
0,3753.8117023209734,6246.188297679027,4,2,1,0,0,14.5,89.6472020712252,6480.0,4,5,0,0,0,9.5,92.7631120058416,4320.0,-0.09119416912989138,-4.256384244605081
0,3156.6508518384016,6843.349148161598,4,4,0,1,0,13.5,90.68636894119392,5220.0,4,8,0,0,0,11.0,92.04398432136385,3780.0,-0.0870408945954611,-4.343425139200542
0,2588.5703984852753,7411.429601514725,4,1,0,1,0,10.0,90.57510638506916,3780.0,4,5,0,1,0,12.0,92.93516098756486,4500.0,-0.08137591104478645,-4.424801050245328
0,2058.532293502067,7941.467706497933,4,3,0,0,0,8.0,89.45923521111335,3780.0,4,8,1,0,0,12.5,91.83031000308462,5400.0,-0.0909498747670905,-4.515750925012419
0,1574.8983377999166,8425.101662200083,4,1,0,0,0,5.0,91.36361720070752,2880.0,4,5,0,0,0,13.0,91.11959750850389,4680.0,-0.08812619243661772,-4.603877117449037
0,1145.2982674552104,8854.701732544789,4,2,0,0,0,3.5,90.32933600449532,1800.0,4,9,0,2,0,14.0,91.29600403446884,5220.0,-0.08897329571525858,-4.692850413164296
0,776.5093881481678,9223.490611851832,4,1,0,0,0,2.5,91.80475265690445,1260.0,4,12,2,0,0,17.0,88.1216099952708,6660.0,-0.11406192227596676,-4.806912335440263
0,474.34965741432853,9525.650342585672,4,1,0,0,0,2.5,95.3588279863925,1080.0,4,12,2,0,0,21.0,85.70786810989875,7200.0,-0.13265434030899784,-4.93956667574926
0,243.5859014271391,9756.41409857286,4,3,0,0,0,3.0,95.50793433164161,1080.0,4,8,0,1,0,21.5,85.15433667742973,7200.0,-0.135778758547076,-5.075345434296336
0,87.8586142698229,9912.141385730178,4,0,0,0,0,3.0,95.38387488000778,900.0,4,13,3,1,0,24.5,84.6567304026709,9180.0,-0.1417303565434689,-5.2170757908398055
0,9.624526051779103,9990.375473948221,4,0,0,0,0,2.5,96.27267717383303,720.0,4,12,1,1,0,29.0,84.48867263205503,8820.0,-0.14576088912248295,-5.362836679962289
0,10.117845906263966,9989.882154093735,4,0,0,0,0,1.5,95.62870285699017,900.0,4,13,1,1,0,29.5,83.67323101998139,10260.0,-0.15748278407260116,-5.52031946403489
0,89.33079129392785,9910.669208706073,4,0,0,0,0,1.5,96.54133114649589,540.0,4,11,3,1,0,27.5,82.71444377351568,10260.0,-0.16570372396847405,-5.6860231880033645
0,246.0137107789795,9753.98628922102,4,0,0,0,0,0.0,100.0,540.0,4,8,3,0,0,26.5,77.57821587562425,9000.0,-0.2242178412437575,-5.910241029247122
0,477.69479834107176,9522.305201658928,4,1,0,0,0,0.5,99.63292617441724,180.0,4,11,4,2,0,28.0,72.36683958716664,9360.0,-0.27154808016565796,-6.18178910941278
0,780.7190882129156,9219.280911787084,4,0,0,0,0,0.5,98.63924870723028,180.0,4,11,0,1,0,31.0,70.53997114819934,8820.0,-0.29014008573085875,-6.471929195143639
0,1150.3061150669726,8849.693884933027,4,0,0,0,0,0.5,97.78866234092881,180.0,4,6,0,1,0,27.0,72.07916214555938,8640.0,-0.2745339239634299,-6.746463119107069
0,1580.6253299128198,8419.37467008718,4,0,0,0,0,0.5,97.06056173441506,0.0,4,7,0,0,0,27.0,75.09069982546315,8100.0,-0.24509848139828633,-6.991561600505356
