step,action,upstream_demand,downstream_demand,upstream_flow,downstream_flow,upstream_speed,downstream_speed,upstream_density,downstream_density
39,2,12271.226750654603,2728.773249345397,15840.0,720.0,0.8916357834379425,0.9058699951119064,0.16904761904761906,0.02142857142857143
40,0,11898.210011236366,3101.789988763634,12240.0,720.0,0.8762600250836752,0.9161149367227347,0.14285714285714285,0.04285714285714286
41,2,11507.812387088738,3492.1876129112625,15840.0,1440.0,0.8703272580450166,0.9322596512048213,0.16904761904761906,0.02857142857142857
42,1,11101.576654951941,3898.4233450480588,12960.0,720.0,0.855470649831868,0.9460952984343893,0.1738095238095238,0.02857142857142857
43,1,10681.108180739646,4318.891819260354,10800.0,0.0,0.8676788232751075,0.9584873415923978,0.17142857142857143,0.02857142857142857
44,1,10248.068575439953,4751.931424560047,12960.0,2160.0,0.8807000107515615,0.9429769758035809,0.1738095238095238,0.03571428571428571
45,2,9804.169128746566,5195.830871253434,13680.0,0.0,0.8735763660630963,0.9348621483021377,0.1738095238095238,0.04285714285714286
46,2,9351.164046369242,5648.835953630758,16560.0,2880.0,0.8618002903530936,0.9486446695589218,0.2057142857142857,0.02857142857142857
47,1,8890.843517748344,6109.156482251656,10800.0,720.0,0.8585635515243456,0.9242045491059714,0.19714285714285715,0.0380952380952381
48,1,8425.026641568587,6574.973358431413,15120.0,720.0,0.8498154781468572,0.9399528441830545,0.2,0.0380952380952381
49,2,7955.554237028968,7044.445762971032,14400.0,3600.0,0.8350009990864271,0.9527728369043575,0.18857142857142858,0.0380952380952381
